"length bufer(s)","bitrate(kbps)","Latency(ms)","index downloading","index playing","Dropped frames","Download"
"33.6577","3540","15","1","1","10","1.3"
"34.9539","3540","15","1","1","10","1.3"
"30.8612","3540","15","1","1","10","1.3"
"33.9822","3540","15","1","1","10","1.3"
"33.4388","3540","15","1","1","10","1.3"
"31.8123","3540","15","1","1","10","1.3"
"61.7152","740","40","1","1","10","1.3"
"38.3908","3540","15","1","1","10","1.3"
"28.8145","900","15","1","1","10","1.3"
"77.5056","740","40","1","1","10","1.3"
"31.7701","3540","15","1","1","10","1.3"
"36.1549","3540","15","1","1","10","1.3"
"33.8454","3540","15","1","1","10","1.3"
"33.0569","3540","15","1","1","10","1.3"
"33.8347","3540","15","1","1","10","1.3"
"32.9150","3540","15","1","1","10","1.3"
"32.9959","3540","15","1","1","10","1.3"
"34.6097","3540","15","1","1","10","1.3"
"34.5290","3540","15","1","1","10","1.3"
"34.5372","3540","15","1","1","40","1.3"
"33.7915","3540","15","1","1","40","4.5"
"31.9125","3540","15","1","1","40","1.3"
"33.8372","3540","15","1","1","40","1.3"
"34.7502","3540","15","1","1","40","1.3"
"33.6089","3540","15","1","1","85","1.3"
"34.1547","3540","15","1","1","85","1.3"
"33.8469","3540","15","1","1","85","1.3"
"32.8166","3540","15","1","1","85","1.3"
"33.4139","3540","15","1","1","85","1.3"
"32.3327","3540","15","1","1","85","1.3"
"34.0084","3540","15","1","1","85","1.3"
"31.9729","3540","15","2","2","85","1.3"
"32.0511","3540","15","2","2","85","1.3"
"32.3105","3540","15","2","2","85","1.3"
"30.1757","3540","15","2","2","85","1.3"
"34.5584","3540","15","2","2","85","1.3"
"33.4452","3540","15","2","2","130","1.3"
"32.3651","3540","15","2","2","130","1.3"
"34.4903","3540","15","2","2","130","1.3"
"31.4085","3540","15","2","2","130","1.3"
"33.0178","3540","15","2","2","130","1.3"
"32.8786","3540","15","2","2","130","1.3"
"33.4392","3540","15","2","2","130","1.3"
"33.4329","3540","15","2","2","130","1.3"
"32.2551","3540","15","2","2","130","1.3"
"33.0899","3540","15","2","2","130","1.3"
"32.9551","3540","15","2","2","130","1.3"
"33.7477","3540","15","2","2","130","1.3"
"34.2133","3540","15","2","2","130","1.3"
"34.2293","3540","15","2","2","130","1.3"
"32.2563","3540","15","2","2","130","1.3"
"33.1974","3540","15","2","2","130","1.3"
"31.9059","3540","15","2","2","130","1.3"
"32.0065","3540","15","2","2","130","1.3"
"33.1132","3540","15","2","2","130","1.3"
"34.6526","3540","15","2","2","130","1.3"
"32.3503","3540","15","2","2","130","1.3"
"33.4914","3540","15","2","2","130","1.3"
"32.8944","3540","15","2","2","130","1.3"
"34.2374","3540","15","2","2","130","1.3"
"32.0309","3540","15","2","2","130","1.3"
"33.1526","3540","15","2","2","130","1.3"
"33.6725","3540","15","3","3","130","1.3"
"34.2206","3540","15","3","3","130","1.3"
"34.6642","3540","15","3","3","130","1.3"
"33.2059","3540","15","3","3","130","1.3"
"31.6284","3540","15","3","3","130","1.3"
"40.0600","740","40","3","3","130","1.3"
"57.3551","740","40","3","3","130","4.03"
"20.6525","740","40","3","3","130","3.22"
"35.1422","3540","15","3","3","130","1.3"
"38.1841","3540","15","3","3","130","1.3"
"32.9276","3540","15","3","3","130","1.3"
"34.0086","3540","15","3","3","130","1.3"
"32.3552","3540","15","3","3","130","1.3"
"31.7177","3540","15","3","3","130","1.3"
"31.6976","3540","15","3","3","130","1.3"
"33.6082","3540","15","3","3","130","1.3"
"32.9426","3540","15","3","3","130","1.3"
"32.9239","3540","15","3","3","130","1.3"
"34.5393","3540","15","3","3","130","1.3"
"33.4116","3540","15","3","3","130","1.3"
"33.3178","3540","15","3","3","130","1.3"
"34.7077","3540","15","3","3","130","1.3"
"32.3155","3540","15","3","3","130","1.3"
"33.8166","3540","15","3","3","130","1.3"
"33.9551","3540","15","3","3","130","1.3"
"32.8763","3540","15","3","3","130","1.3"
"33.3357","3540","15","3","3","130","1.3"
"31.9542","3540","15","3","3","130","1.3"
"31.9720","3540","15","3","3","130","1.3"
"33.2249","3540","15","3","3","130","1.3"
"33.8423","3540","15","3","3","130","1.3"
"35.7055","3540","15","4","4","130","1.3"
"32.4531","3540","15","4","4","130","1.3"
"33.3073","3540","15","4","4","130","1.3"
"33.0375","3540","15","4","4","130","1.3"
"31.1870","3540","15","4","4","130","1.3"
"32.6810","3540","15","4","4","130","1.3"
"76.7342","740","40","4","4","130","1.3"
"16.9574","740","40","4","4","130","1.3"
"84.2238","740","40","4","4","130","1.3"
"7.6401","740","40","4","4","130","1.3"
"4.7232","740","40","4","4","130","1.3"
"33.4235","3540","15","4","4","130","1.3"
"32.5197","3540","15","4","4","130","1.3"
"33.6100","3540","15","4","4","130","1.3"
"33.8594","3540","15","4","4","130","1.3"
"34.8319","3540","15","4","4","130","1.3"
"34.6273","3540","15","4","4","130","1.3"
"82.8006","740","40","4","4","130","2.86"
"73.3833","740","40","4","4","130","2.86"
"52.5301","740","40","4","4","130","2.86"
"22.4516","740","40","4","4","130","1.7"
"34.0810","3540","15","4","4","130","1.4"
"33.2440","3540","15","4","4","130","1.1"
"34.5567","3540","15","4","4","130","1.3"
"89.0300","740","40","4","4","130","2.11"
"7.8021","740","40","4","4","130","2.7"
"6.9394","740","40","4","4","130","3.2"
"62.7837","740","40","4","4","130","3.2"
"80.8990","740","40","4","4","130","3.2"
"34.4990","3540","15","4","4","130","2.4"
"32.0618","3540","15","4","4","130","2.1"
"32.6514","3540","15","5","5","130","1.6"
"32.8475","3540","15","5","5","130","1.3"
"34.2184","3540","15","5","5","130","1.3"
"32.8421","3540","15","5","5","130","1.3"
"33.8215","3540","15","5","5","130","1.3"
"31.0682","3540","15","5","5","130","1.3"
"32.7662","3540","15","5","5","130","1.3"
"32.2964","3540","15","5","5","130","1.3"
"31.5429","3540","15","5","5","130","1.3"
"19.1821","740","40","5","5","170","3.2"
"9.6164","740","40","5","5","170","3.2"
"32.4106","3540","15","5","5","170","1.3"
"86.6766","740","40","5","5","170","1.3"
"69.3367","740","40","5","5","170","1.3"
"33.4702","3540","15","5","5","170","1.3"
"32.8209","3540","15","5","5","170","1.3"
"33.1429","3540","15","5","5","170","1.3"
"32.8580","3540","15","5","5","170","1.3"
"31.3698","3540","15","5","5","170","1.3"
"32.8343","3540","15","5","5","170","1.3"
"32.2886","3540","15","5","5","170","1.3"
"26.6802","900","15","5","5","170","1.3"
"37.6026","3540","15","5","5","170","1.3"
"53.5518","740","40","5","5","200","1.3"
"46.0826","740","40","5","5","210","1.3"
"90.3545","740","40","5","5","226","1.3"
"33.6401","3540","15","5","5","226","1.3"
"33.1000","3540","15","5","5","226","1.3"
"33.0852","3540","15","5","5","226","1.3"
"32.3218","3540","15","5","5","226","1.3"
"34.1387","3540","15","5","5","226","1.3"
"32.9868","3540","15","6","6","226","1.3"
"32.4055","3540","15","6","6","226","1.3"
"34.4714","3540","15","6","6","226","1.3"
"32.8952","3540","15","6","6","226","1.3"
